wild animal|дикое животное
wolf|волк
fox|лиса
bear|медведь
tiger|тигр
lion|лев
elephant|слон
ape|обезьяна
camel|верблюд
rabbit|кролик
hare|заяц
antelope|антилопа
badger|барсук
squirrel|белка
beaver|бобр
zebra|зебра
kangaroo|кенгуру
crocodile|крокодил
rhino|носорог
deer|олень
lynx|рысь
seal|тюлень
tortoise|черепаха
cheetah|гепард
hyena|гиена
raccoon|енот
giraffe|жираф
hedgehog|ёж
leopard|леопард
panther|пантера
elk|лось
anteater|муравьед
opossum|опоссум
puma|пума
wolverine|росомаха
dinosaur|динозавр
